Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",0,4.01,Tor Books,Hardcover,384,2006,2006,,2024/03/27,to-read,to-read (#49),to-read,,,,0,0
58088226,Manhwa Collection: Solo Leveling Manhwa Vol 6,Dubu,"Dubu, Dubu",,"=""""","=""""",0,4.59,,Kindle Edition,1669,2021,2022,,2024/02/22,,,read,,,,1,0
58088581,Manhwa Collection: Solo Leveling Manhwa Vol 7,Dubu,"Dubu, Dubu",,"=""""","=""""",0,4.64,,Kindle Edition,203,2021,2023,,2024/02/22,,,read,,,,1,0
58086475,Manhwa Collection: Solo Leveling Manhwa Vol 8,Dubu,"Dubu, Dubu",,"=""""","=""""",5,4.66,,Kindle Edition,255,2021,,,2024/02/22,,,read,,,,1,0
36510196,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""""","=""""",5,4.23,Tor Books,Kindle Edition,318,2007,2005,2025/05/05,2025/05/05,,,read,,,,1,0
17961,Collected Fictions,Jorge Luis Borges,"Borges, Jorge Luis",Andrew Hurley,"=""""","=""""",0,4.56,Penguin Classics,Paperback,565,1999,1998,,2024/08/26,to-read,to-read (#52),to-read,,,,0,0
201467808,Coding with AI For Dummies (For Dummies: Learning Made Easy),Chris Minnick,"Minnick, Chris",,"=""1394249136""","=""9781394249138""",3,3.29,For Dummies,Paperback,336,2024,,2024/08/26,2024/08/05,,,read,,,,1,0
9809,Invisible Cities,Italo Calvino,"Calvino, Italo",William Weaver,"=""0156453800""","=""9780156453806""",5,4.10,Harcourt,Paperback,165,1974,1972,2024/08/26,2024/08/26,,,read,Kublai would never ,,,1,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",0,4.38,Magrathea Publishing,Kindle Edition,244,2020,2020,,2024/08/07,to-read,to-read (#51),to-read,,,,0,0
174156154,"3 Shades of Blue: Miles Davis, John Coltrane, Bill Evans, and the Lost Empire of Cool",James Kaplan,"Kaplan, James",,"=""0525561005""","=""9780525561002""",5,4.35,Penguin Press,Hardcover,496,2024,2024,2024/07/27,2024/07/27,,,read,Mhm ,,,1,0
10960707,The Big Love: Life & Death With Bill Evans,Laurie Verchomin,"Verchomin, Laurie",John Gerard McLaughlin,"=""1456563092""","=""9781456563097""",0,3.62,CreateSpace Independent Publishing Platform,Paperback,144,2011,2010,,2024/07/27,to-read,to-read (#50),to-read,,,,0,0
3845354,"The Boy Who Followed Ripley (Ripley, #4)",Patricia Highsmith,"Highsmith, Patricia",,"=""039333211X""","=""9780393332117""",4,3.64,W. W. Norton & Company,Paperback,348,2008,1980,2024/07/24,2024/07/17,,,read,my name is alex speer ,,,1,0
